date,home,away,status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
09-11-2013,M'gladbach,Nurnberg,1,3,1,H,12,19,4,3,8,18,6,3,2,2,0,0
09-11-2013,Schalke 04,Werder Bremen,1,3,1,H,17,9,6,3,16,19,6,2,2,4,0,0
09-11-2013,Wolfsburg,Dortmund,1,2,1,H,10,12,4,2,13,19,5,2,2,4,0,0
10-11-2013,Freiburg,Stuttgart,1,1,3,A,19,10,5,7,7,13,7,2,2,1,0,0
10-11-2013,Mainz,Ein Frankfurt,1,1,0,H,20,14,9,4,20,17,6,6,4,1,0,0
22-11-2013,Stuttgart,M'gladbach,1,0,2,A,9,19,2,11,14,10,1,5,0,2,0,0
23-11-2013,Augsburg,Hoffenheim,1,2,0,H,16,8,5,3,14,24,5,4,2,3,0,0
23-11-2013,Braunschweig,Freiburg,1,0,1,A,21,8,7,2,14,17,6,1,3,1,0,0
23-11-2013,Dortmund,Bayern Munich,1,0,3,A,7,10,4,5,7,13,2,3,2,3,0,0
23-11-2013,Ein Frankfurt,Schalke 04,1,3,3,D,15,13,8,9,22,20,5,1,4,0,0,0
23-11-2013,Hertha,Leverkusen,1,0,1,A,12,4,2,2,15,14,9,1,1,1,0,0
23-11-2013,Nurnberg,Wolfsburg,1,1,1,D,11,23,6,6,19,17,3,5,1,1,0,0
24-11-2013,Hamburg,Hannover,1,3,1,H,19,11,9,4,19,24,7,3,3,2,0,1
24-11-2013,Werder Bremen,Mainz,1,2,3,A,24,18,8,7,18,22,7,9,1,2,0,0
29-11-2013,Wolfsburg,Hamburg,1,1,1,D,20,17,4,8,16,12,2,3,4,1,0,0
30-11-2013,Bayern Munich,Braunschweig,1,2,0,H,18,8,8,3,9,17,6,3,0,0,0,0
30-11-2013,Hertha,Augsburg,1,0,0,D,9,2,2,0,16,22,6,3,1,1,0,0
30-11-2013,Hoffenheim,Werder Bremen,1,4,4,D,18,13,8,6,28,20,3,9,2,5,0,0
30-11-2013,Leverkusen,Nurnberg,1,3,0,H,17,16,7,5,18,14,4,5,1,3,0,0
30-11-2013,Mainz,Dortmund,1,1,3,A,12,16,6,6,11,16,6,5,1,0,1,0
30-11-2013,Schalke 04,Stuttgart,1,3,0,H,12,9,5,1,15,17,5,2,2,0,0,0
01-12-2013,Hannover,Ein Frankfurt,1,2,0,H,13,12,3,4,19,18,7,7,1,2,0,1
01-12-2013,M'gladbach,Freiburg,1,1,0,H,12,9,4,4,8,14,6,4,1,2,0,0
06-12-2013,Nurnberg,Mainz,1,1,1,D,16,12,5,4,6,11,14,3,1,2,0,1
07-12-2013,Dortmund,Leverkusen,1,0,1,A,13,7,5,4,18,25,3,4,1,4,1,1
07-12-2013,Ein Frankfurt,Hoffenheim,1,1,2,A,13,11,7,4,21,27,4,4,5,2,0,0
07-12-2013,Hamburg,Augsburg,1,0,1,A,8,16,5,6,17,17,7,11,2,1,0,0
07-12-2013,M'gladbach,Schalke 04,1,2,1,H,19,9,8,3,11,17,8,1,1,3,0,1
07-12-2013,Stuttgart,Hannover,1,4,2,H,13,14,8,4,15,20,3,3,1,2,0,0
07-12-2013,Werder Bremen,Bayern Munich,1,0,7,A,6,17,2,10,13,15,2,7,4,2,0,0
08-12-2013,Braunschweig,Hertha,1,0,2,A,13,16,2,6,18,22,8,2,2,4,1,0
08-12-2013,Freiburg,Wolfsburg,1,0,3,A,13,17,2,7,11,16,4,7,0,1,0,0
13-12-2013,Hertha,Werder Bremen,1,3,2,H,12,9,4,4,15,21,6,4,1,2,0,0
14-12-2013,Augsburg,Braunschweig,1,4,1,H,20,9,8,1,16,14,5,0,2,2,0,0
14-12-2013,Bayern Munich,Hamburg,1,3,1,H,22,13,8,6,13,15,5,2,0,2,0,0
14-12-2013,Hannover,Nurnberg,1,3,3,D,21,16,6,6,13,21,5,7,3,2,0,0
14-12-2013,Hoffenheim,Dortmund,1,2,2,D,14,16,4,8,19,13,2,4,2,3,0,0
14-12-2013,Mainz,M'gladbach,1,0,0,D,6,10,0,1,6,8,1,4,0,2,0,0
14-12-2013,Wolfsburg,Stuttgart,1,3,1,H,12,9,6,4,18,21,2,4,2,2,0,0
15-12-2013,Leverkusen,Ein Frankfurt,1,0,1,A,15,16,7,5,15,23,8,4,4,3,0,0
15-12-2013,Schalke 04,Freiburg,1,2,0,H,13,8,4,1,17,19,8,4,0,3,0,0
20-12-2013,Ein Frankfurt,Augsburg,1,1,1,D,5,9,5,3,18,14,4,3,3,2,0,0
21-12-2013,Braunschweig,Hoffenheim,1,1,0,H,14,16,8,3,17,19,7,8,1,2,1,0
21-12-2013,Dortmund,Hertha,1,1,2,A,20,6,5,4,20,19,5,0,2,3,0,0
21-12-2013,Freiburg,Hannover,1,2,1,H,11,20,3,6,16,13,0,1,1,2,0,0
21-12-2013,Hamburg,Mainz,1,2,3,A,18,13,8,7,21,13,5,3,1,1,1,0
21-12-2013,Nurnberg,Schalke 04,1,0,0,D,15,8,4,2,14,19,9,4,0,0,0,0
21-12-2013,Werder Bremen,Leverkusen,1,1,0,H,11,22,3,5,14,10,5,9,2,3,0,0
22-12-2013,M'gladbach,Wolfsburg,1,2,2,D,14,18,4,13,10,12,4,4,1,3,0,0
