Date,HomeTeam,AwayTeam,Status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
10-11-2013,Espanol,Sevilla,1,1,3,A,15,12,2,4,19,11,5,4,2,3,1,0
10-11-2013,Valencia,Valladolid,1,2,2,D,19,11,6,6,8,17,6,6,1,5,0,0
10-11-2013,Villarreal,Ath Madrid,1,1,1,D,15,7,3,1,14,22,5,1,3,4,0,0
10-11-2013,Betis,Barcelona,1,1,4,A,16,11,5,8,18,12,9,0,3,2,0,0
22-11-2013,Valladolid,Osasuna,1,0,1,A,7,10,3,3,8,17,6,1,4,4,0,0
23-11-2013,Almeria,Real Madrid,1,0,5,A,12,35,4,15,15,7,1,6,1,2,0,0
23-11-2013,Ath Madrid,Getafe,1,7,0,H,24,2,13,1,10,12,8,3,2,2,0,1
23-11-2013,Barcelona,Granada,1,4,0,H,13,10,8,3,19,19,3,7,2,2,0,1
23-11-2013,Sociedad,Celta,1,4,3,H,23,10,12,5,11,24,7,3,2,2,0,1
24-11-2013,Elche,Valencia,1,2,1,H,9,25,3,8,14,10,2,7,3,2,0,0
24-11-2013,Levante,Villarreal,1,0,3,A,5,23,1,9,17,17,5,4,1,1,1,0
24-11-2013,Sevilla,Betis,1,4,0,H,16,8,4,1,16,21,3,1,1,4,0,1
24-11-2013,Vallecano,Espanol,1,1,4,A,16,8,4,5,15,12,7,3,3,3,1,0
25-11-2013,Malaga,Ath Bilbao,1,1,2,A,8,10,1,6,20,9,5,3,4,1,1,0
29-11-2013,Getafe,Levante,1,1,0,H,15,11,2,1,15,19,4,5,3,1,0,0
29-11-2013,Villarreal,Malaga,1,1,1,D,7,8,3,3,12,11,9,8,1,4,0,0
30-11-2013,Celta,Almeria,1,3,1,H,17,6,6,3,11,12,7,3,1,2,0,0
30-11-2013,Elche,Ath Madrid,1,0,2,A,10,12,2,4,14,13,9,6,2,4,0,0
30-11-2013,Espanol,Sociedad,1,1,2,A,13,15,4,6,17,12,5,7,4,3,0,0
30-11-2013,Real Madrid,Valladolid,1,4,0,H,26,9,12,3,6,8,10,1,1,1,0,0
01-12-2013,Ath Bilbao,Barcelona,1,1,0,H,15,11,6,2,16,10,4,5,3,4,0,0
01-12-2013,Betis,Vallecano,1,2,2,D,12,9,4,5,21,16,8,4,3,5,0,0
01-12-2013,Granada,Sevilla,1,1,2,A,17,13,8,7,13,14,8,3,4,7,0,0
01-12-2013,Valencia,Osasuna,1,3,0,H,24,6,11,1,15,11,7,1,1,1,0,1
13-12-2013,Levante,Elche,1,2,1,H,9,7,3,2,11,9,5,3,4,4,0,0
14-12-2013,Barcelona,Villarreal,1,2,1,H,13,3,7,1,7,12,7,4,1,1,0,0
14-12-2013,Malaga,Getafe,1,1,0,H,21,6,4,3,17,14,7,4,4,4,0,0
14-12-2013,Osasuna,Real Madrid,1,2,2,D,11,17,7,4,9,14,5,6,4,1,1,1
14-12-2013,Vallecano,Granada,1,0,2,A,17,13,8,3,20,21,7,3,4,5,1,0
15-12-2013,Almeria,Espanol,1,0,0,D,10,16,4,6,10,17,5,5,0,2,0,0
15-12-2013,Ath Madrid,Valencia,1,3,0,H,14,3,6,0,9,14,8,1,2,4,0,0
15-12-2013,Sevilla,Ath Bilbao,1,1,1,D,14,13,2,4,21,9,8,9,4,2,0,0
15-12-2013,Sociedad,Betis,1,5,1,H,20,15,9,4,8,12,11,1,4,2,0,0
16-12-2013,Valladolid,Celta,1,3,0,H,11,14,6,3,17,17,7,5,3,1,0,1
20-12-2013,Elche,Malaga,1,0,1,A,8,6,2,2,17,14,7,2,3,4,1,0
21-12-2013,Ath Madrid,Levante,1,3,2,H,16,8,6,4,16,18,10,6,3,5,0,1
21-12-2013,Betis,Almeria,1,0,1,A,25,14,8,7,9,17,11,2,0,2,0,0
21-12-2013,Granada,Sociedad,1,1,3,A,23,11,8,7,16,9,8,2,3,1,0,0
21-12-2013,Villarreal,Sevilla,1,1,2,A,13,12,5,4,13,25,11,4,3,4,0,1
22-12-2013,Ath Bilbao,Vallecano,1,2,1,H,24,14,9,5,11,21,8,7,0,2,0,0
22-12-2013,Celta,Osasuna,1,1,1,D,14,13,6,4,14,15,5,7,0,3,0,0
22-12-2013,Espanol,Valladolid,1,4,2,H,13,9,7,4,23,13,2,4,3,1,0,0
22-12-2013,Getafe,Barcelona,1,2,5,A,12,15,2,7,26,7,7,1,4,3,0,0
22-12-2013,Valencia,Real Madrid,1,2,3,A,12,12,5,5,12,13,3,6,2,2,0,0
