Date,Home,Away,Status,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
27-10-2013,Parma,Milan,1,3,2,H,16,16,8,5,14,10,3,6,3,3,0,0
27-10-2013,Udinese,Roma,1,0,1,A,13,15,3,5,16,12,4,8,4,3,0,1
29-10-2013,Atalanta,Inter,1,1,1,D,12,13,8,4,11,14,8,7,3,1,0,0
30-10-2013,Cagliari,Bologna,1,0,3,A,11,17,2,5,17,21,7,3,2,3,1,0
30-10-2013,Fiorentina,Napoli,1,1,2,A,11,4,3,2,22,16,9,3,2,3,1,1
30-10-2013,Genoa,Parma,1,1,0,H,5,10,5,3,14,12,2,3,3,2,0,0
30-10-2013,Juventus,Catania,1,4,0,H,23,7,10,1,14,11,9,5,2,0,0,1
30-10-2013,Livorno,Torino,1,3,3,D,19,13,6,7,13,18,8,8,6,5,0,0
30-10-2013,Milan,Lazio,1,1,1,D,18,5,5,3,12,19,4,3,4,2,0,0
30-10-2013,Sassuolo,Udinese,1,1,2,A,15,9,7,4,16,22,6,4,3,2,1,0
30-10-2013,Verona,Sampdoria,1,2,0,H,12,15,5,5,12,13,7,3,0,1,0,0
31-10-2013,Roma,Chievo,1,1,0,H,18,2,3,1,12,19,10,1,3,5,0,0
02-11-2013,Milan,Fiorentina,1,0,2,A,18,4,1,2,19,12,10,3,1,2,0,0
02-11-2013,Napoli,Catania,1,2,1,H,21,13,8,2,14,13,12,0,0,0,0,0
02-11-2013,Parma,Juventus,1,0,1,A,5,12,1,5,15,14,6,3,2,4,0,0
03-11-2013,Lazio,Genoa,1,0,2,A,17,7,4,3,16,18,5,4,2,1,0,0
03-11-2013,Livorno,Atalanta,1,1,0,H,18,5,6,1,15,17,3,4,4,3,0,1
03-11-2013,Sampdoria,Sassuolo,1,3,4,A,13,19,5,10,17,14,4,3,2,2,1,0
03-11-2013,Torino,Roma,1,1,1,D,14,12,5,3,12,11,5,5,2,3,0,0
03-11-2013,Udinese,Inter,1,0,3,A,9,13,3,5,12,13,6,4,0,3,0,0
03-11-2013,Verona,Cagliari,1,2,1,H,6,18,4,3,8,21,4,6,0,3,0,0
04-11-2013,Bologna,Chievo,1,0,0,D,12,3,3,1,14,24,2,2,2,1,0,0
09-11-2013,Catania,Udinese,1,1,0,H,11,17,4,1,24,15,5,6,2,3,0,0
09-11-2013,Inter,Livorno,1,2,0,H,12,9,4,1,15,10,6,0,3,3,0,0
10-11-2013,Atalanta,Bologna,1,2,1,H,13,11,3,4,17,17,8,1,3,2,0,0
10-11-2013,Cagliari,Torino,1,2,1,H,10,9,5,4,19,11,4,4,4,4,0,0
10-11-2013,Chievo,Milan,1,0,0,D,6,23,2,3,15,9,2,8,2,0,1,1
10-11-2013,Genoa,Verona,1,2,0,H,12,25,3,4,8,8,5,4,1,2,0,0
10-11-2013,Parma,Lazio,1,1,1,D,10,13,4,4,7,12,4,10,2,2,1,0
10-11-2013,Roma,Sassuolo,1,1,1,D,16,11,6,7,10,18,10,3,3,4,0,0
10-11-2013,Fiorentina,Sampdoria,1,2,1,H,14,13,5,3,7,15,9,1,0,4,0,0
10-11-2013,Juventus,Napoli,1,3,0,H,14,13,10,5,16,16,4,4,2,1,1,0
23-11-2013,Milan,Genoa,1,1,1,D,39,2,10,1,10,18,12,0,3,2,0,1
23-11-2013,Napoli,Parma,1,0,1,A,10,12,4,4,9,13,5,6,2,2,0,0
23-11-2013,Verona,Chievo,1,0,1,A,6,12,0,3,16,17,11,7,4,1,0,0
24-11-2013,Bologna,Inter,1,1,1,D,9,22,4,6,10,9,2,15,4,1,0,0
24-11-2013,Livorno,Juventus,1,0,2,A,9,21,1,6,14,19,3,11,4,1,0,0
24-11-2013,Sampdoria,Lazio,1,1,1,D,10,12,5,2,16,17,3,4,3,3,1,0
24-11-2013,Sassuolo,Atalanta,1,2,0,H,17,13,6,4,21,25,5,2,1,2,1,0
24-11-2013,Torino,Catania,1,4,1,H,22,15,7,5,10,21,7,6,3,5,0,0
24-11-2013,Udinese,Fiorentina,1,1,0,H,22,15,11,5,22,8,6,6,2,2,0,0
25-11-2013,Roma,Cagliari,1,0,0,D,19,8,5,2,9,11,19,7,2,4,0,0
30-11-2013,Genoa,Torino,1,1,1,D,16,21,7,10,15,15,5,9,3,2,0,0
30-11-2013,Parma,Bologna,1,1,1,D,18,7,8,4,17,14,11,2,6,2,0,1
01-12-2013,Atalanta,Roma,1,1,1,D,7,17,3,7,10,21,2,7,3,2,0,0
01-12-2013,Cagliari,Sassuolo,1,2,2,D,16,12,7,4,12,15,6,2,2,1,0,0
01-12-2013,Catania,Milan,1,1,3,A,12,13,3,7,18,15,2,5,3,3,1,0
01-12-2013,Chievo,Livorno,1,3,0,H,19,14,6,4,21,4,11,6,4,2,0,0
01-12-2013,Inter,Sampdoria,1,1,1,D,11,14,2,5,17,17,4,5,3,3,0,0
01-12-2013,Juventus,Udinese,1,1,0,H,27,9,5,4,10,9,12,4,2,1,0,0
02-12-2013,Fiorentina,Verona,1,4,3,H,23,11,7,7,9,13,5,1,2,3,0,1
02-12-2013,Lazio,Napoli,1,2,4,A,12,13,4,7,21,13,1,3,2,2,0,0
06-12-2013,Bologna,Juventus,1,0,2,A,10,19,4,6,16,16,7,6,1,4,0,0
07-12-2013,Livorno,Milan,1,2,2,D,17,11,7,5,15,11,7,2,5,2,0,0
07-12-2013,Napoli,Udinese,1,3,3,D,12,17,6,7,13,13,10,8,4,2,0,0
